VAR_5_banking-7747491218.uml	 strategy
VAR_10_banking-8152245215.uml	nao aplicado
VAR_11_banking-1811755161.uml	 strategy
VAR_1_banking-4921122422.uml	nao aplicado
VAR_5_banking-9398117317.uml	nao aplicado
VAR_0_banking-5213457214.uml	nao aplicado
VAR_13_banking-6329968388.uml	nao aplicado
VAR_2_banking-3351481935.uml	nao aplicado
VAR_3_banking-9472392687.uml	nao aplicado
VAR_2_banking-8516563698.uml	 strategy
VAR_0_banking-1617281118.uml	nao aplicado
VAR_All_banking-1246263612.uml	nao aplicado
VAR_All_banking-3361814545.uml	 strategy
VAR_8_banking-1533685339.uml	 strategy
VAR_0_banking-4351445617.uml	 strategy
VAR_6_banking-1719535481.uml	 strategy
VAR_14_banking-3723712257.uml	nao aplicado
VAR_8_banking-1661233431.uml	nao aplicado
VAR_14_banking-8511412351.uml	 strategy
VAR_9_banking-2742614348.uml	 strategy
VAR_4_banking-3114719631.uml	nao aplicado
VAR_10_banking-3852871111.uml	 strategy
VAR_13_banking-5357421291.uml	 strategy
VAR_9_banking-6811841291.uml	nao aplicado
VAR_12_banking-9573414561.uml	 strategy
VAR_1_banking-6898343118.uml	 strategy
VAR_12_banking-8936696855.uml	nao aplicado
VAR_11_banking-4968663717.uml	nao aplicado
VAR_3_banking-6731212111.uml	 strategy
VAR_6_banking-1211231716.uml	nao aplicado
VAR_7_banking-7151236462.uml	 strategy
VAR_7_banking-1297684379.uml	nao aplicado
VAR_4_banking-2742213194.uml	 strategy
VAR_All_banking-5138228338.uml	nao aplicado
